Contract Account,Meterid,CoCd,OPCO
20032525006,103063260,1000,RGE
20032550046,103063261,1000,RGE
20032634188,103063350,1000,RGE
20032643809,103063353,1000,RGE
20029402391,103053560,1000,RGE
20031142100,103053561,1000,RGE
20090456839,103053562,1000,RGE
20029168836,103053563,1000,RGE
20021273576,103053564,1000,RGE
20031647058,103053565,1000,RGE
20030166670,103053566,1000,RGE
20029113840,103053567,1000,RGE
20031428608,103053568,1000,RGE
20031977992,103053569,1000,RGE
20090440494,103053570,1000,RGE
20031779828,103053571,1000,RGE
20027630274,103053576,1000,RGE
20090381078,103053577,1000,RGE
20031309980,103053578,1000,RGE
20090367804,103053579,1000,RGE
20021432966,103053584,1000,RGE
20032427120,103053585,1000,RGE
20020174189,103053586,1000,RGE
20014662710,103053587,1000,RGE
20090365949,103053589,1000,RGE
20032790048,103053590,1000,RGE
20032713198,103053592,1000,RGE
20028787313,103053593,1000,RGE
20031114612,103053594,1000,RGE
20031077348,103053595,1000,RGE
20031751124,103053596,1000,RGE
20025181254,103053597,1000,RGE
20090050343,103053598,1000,RGE
20024290726,103053599,1000,RGE
20031078056,103053600,1000,RGE
20031078049,103053601,1000,RGE
20090322312,103053602,1000,RGE
20031893876,103053603,1000,RGE
20090343581,103053604,1000,RGE
20032759084,103053605,1000,RGE
20090475029,103053606,1000,RGE
20032717355,103053607,1000,RGE
20030574170,103053612,1000,RGE
20032620609,103053613,1000,RGE
20090232016,103053614,1000,RGE
20013952757,103053615,1000,RGE
20029892054,103053616,1000,RGE
20032110684,103053617,1000,RGE
20032779207,103053618,1000,RGE
20032268565,103053619,1000,RGE
20025028513,103053624,1000,RGE
20023153867,103053625,1000,RGE
20014664237,103053626,1000,RGE
20032941880,103053627,1000,RGE
20032490466,103053628,1000,RGE
20090378421,103053629,1000,RGE
20031981366,103053630,1000,RGE
20026289098,103053631,1000,RGE
20032798579,103053632,1000,RGE
20028157954,103053633,1000,RGE
20028974903,103053634,1000,RGE
20090520717,103053634,1000,RGE
20090459155,103053635,1000,RGE
20031811134,103053637,1000,RGE
20090419464,103053639,1000,RGE
20032920868,103053641,1000,RGE
20030221020,103053642,1000,RGE
20029671797,103053643,1000,RGE
20032646539,103053648,1000,RGE
20090347889,103053649,1000,RGE
20090257633,103053650,1000,RGE
20032839613,103053651,1000,RGE
20010474565,103053653,1000,RGE
20014663569,103053654,1000,RGE
20090036011,103053657,1000,RGE
20090171297,103053658,1000,RGE
20030329401,103053659,1000,RGE
20090498161,103053660,1000,RGE
20031288101,103053661,1000,RGE
20028994620,103053662,1000,RGE
20032429969,103053663,1000,RGE
20090226653,103053664,1000,RGE
20031366204,103053665,1000,RGE
20027141686,103053667,1000,RGE
20026009249,103053668,1000,RGE
20030550691,103053669,1000,RGE
20028405320,103053670,1000,RGE
20022595894,103053671,1000,RGE
20024673640,103053680,1000,RGE
20022309296,103053681,1000,RGE
20090371988,103053682,1000,RGE
20031385188,103053683,1000,RGE
20090328194,103053684,1000,RGE
20090399450,103053685,1000,RGE
20031079690,103053686,1000,RGE
20090415918,103053687,1000,RGE
20026245330,103053688,1000,RGE
20014709180,103053689,1000,RGE
20015415654,103053691,1000,RGE
20032711762,103053692,1000,RGE
20031925751,103053694,1000,RGE
20090007004,103053695,1000,RGE
20015411000,103053696,1000,RGE
20031079492,103053698,1000,RGE
20090231034,103053699,1000,RGE
20012343172,103053700,1000,RGE
20090465087,103053701,1000,RGE
20031501404,103053702,1000,RGE
20090187103,103053703,1000,RGE
20011240734,103053704,1000,RGE
20090194679,103053705,1000,RGE
20090307792,103053706,1000,RGE
20014914038,103053707,1000,RGE
20031079757,103053708,1000,RGE
20030823247,103053709,1000,RGE
20031079716,103053710,1000,RGE
20031259094,103053711,1000,RGE
20031421579,103053713,1000,RGE
20090111954,103053714,1000,RGE
20032474221,103053715,1000,RGE
20029327663,103053716,1000,RGE
20032583542,103053717,1000,RGE
20090012079,103053718,1000,RGE
20030974834,103053724,1000,RGE
20090290022,103053725,1000,RGE
20014249153,103053726,1000,RGE
20090217819,103053727,1000,RGE
20026438059,103053732,1000,RGE
20032134585,103053733,1000,RGE
20020957476,103053734,1000,RGE
20022392581,103053735,1000,RGE
20090473701,103053736,1000,RGE
20032781781,103053737,1000,RGE
20090464270,103053738,1000,RGE
20090478569,103053739,1000,RGE
20027591575,103053740,1000,RGE
20031579491,103053741,1000,RGE
20026276335,103053743,1000,RGE
20015613530,103053744,1000,RGE
20014709685,103053745,1000,RGE
20090242338,103053746,1000,RGE
20014709586,103053747,1000,RGE
20024303701,103053751,1000,RGE
20032659144,103053756,1000,RGE
20032041590,103053757,1000,RGE
20011169024,103053758,1000,RGE
20027160736,103053759,1000,RGE
20014619140,103053761,1000,RGE
20032687988,103053768,1000,RGE
20030019002,103053769,1000,RGE
20032913350,103053770,1000,RGE
20032181032,103053771,1000,RGE
20014708687,103053772,1000,RGE
20031240128,103053773,1000,RGE
20014708281,103053774,1000,RGE
20014245821,103053775,1000,RGE
20024660878,103053778,1000,RGE
20032221341,103053779,1000,RGE
20090382423,103053781,1000,RGE
20024923078,103053782,1000,RGE
20090121334,103053783,1000,RGE
20028651527,103053784,1000,RGE
20032484717,103053785,1000,RGE
20032497180,103053786,1000,RGE
20032131227,103053787,1000,RGE
20032777144,103053789,1000,RGE
20032134296,103053804,1000,RGE
20090293802,103053805,1000,RGE
20031043753,103053806,1000,RGE
20032520387,103053807,1000,RGE
20090440619,103053808,1000,RGE
