Contract Account,Meterid,CoCd,OPCO,ApprovedDate
10050694347,102969920,1160,NYSEG,1999-01-01
10051306339,102969921,1160,NYSEG,1999-01-01
10012551676,102969922,1160,NYSEG,1999-01-01
10037713681,102969923,1160,NYSEG,1999-01-01
10012483854,102969924,1160,NYSEG,1999-01-01
10012483888,102969925,1160,NYSEG,1999-01-01
10016908948,102969930,1160,NYSEG,1999-01-01
10037197562,102969932,1160,NYSEG,1999-01-01
10090402461,102969933,1160,NYSEG,1999-01-01
10021519094,102969934,1160,NYSEG,1999-01-01
10011563714,102969935,1160,NYSEG,1999-01-01
10011563722,102969936,1160,NYSEG,1999-01-01
10016908914,102969937,1160,NYSEG,1999-01-01
10049473514,102969943,1160,NYSEG,1999-01-01
10049639452,102969944,1160,NYSEG,1999-01-01
10016909276,102969945,1160,NYSEG,1999-01-01
10016909235,102969946,1160,NYSEG,1999-01-01
10033093633,102969947,1160,NYSEG,1999-01-01
10028017761,102969948,1160,NYSEG,1999-01-01
10053407200,102969949,1160,NYSEG,1999-01-01
10016909102,102969950,1160,NYSEG,1999-01-01
10052840294,102969951,1160,NYSEG,1999-01-01
10016909441,102969952,1160,NYSEG,1999-01-01
10034512862,102969953,1160,NYSEG,1999-01-01
10090204735,102969954,1160,NYSEG,1999-01-01
10090877779,102969955,1160,NYSEG,1999-01-01
10090203984,102969956,1160,NYSEG,1999-01-01
10090203992,102969957,1160,NYSEG,1999-01-01
10013681001,102969958,1160,NYSEG,1999-01-01
10034170786,102969959,1160,NYSEG,1999-01-01
10090901793,102969960,1160,NYSEG,1999-01-01
10053430715,102969961,1160,NYSEG,1999-01-01
10052083853,102969962,1160,NYSEG,1999-01-01
10048301195,102969963,1160,NYSEG,1999-01-01
10039274278,102969964,1160,NYSEG,1999-01-01
10047779086,102969965,1160,NYSEG,1999-01-01
10090539536,102969970,1160,NYSEG,1999-01-01
10040455908,102969971,1160,NYSEG,1999-01-01
10048479819,102969972,1160,NYSEG,1999-01-01
10052294369,102969974,1160,NYSEG,1999-01-01
10053013644,102969975,1160,NYSEG,1999-01-01
10090782078,102969976,1160,NYSEG,1999-01-01
10090100354,102969977,1160,NYSEG,1999-01-01
10013681068,102969978,1160,NYSEG,1999-01-01
10013681076,102969979,1160,NYSEG,1999-01-01
10051534211,102969980,1160,NYSEG,1999-01-01
10038577002,102969981,1160,NYSEG,1999-01-01
10025657643,102969983,1160,NYSEG,1999-01-01
10043452951,102969984,1160,NYSEG,1999-01-01
10033050518,102969985,1160,NYSEG,1999-01-01
10012202346,102969986,1160,NYSEG,1999-01-01
10042522291,102969987,1160,NYSEG,1999-01-01
10090502336,102969988,1160,NYSEG,1999-01-01
10053755780,102969989,1160,NYSEG,1999-01-01
10014190168,102969990,1160,NYSEG,1999-01-01
10014132806,102969991,1160,NYSEG,1999-01-01
10014190416,102969992,1160,NYSEG,1999-01-01
10010714623,102969997,1160,NYSEG,1999-01-01
10048431315,102969998,1160,NYSEG,1999-01-01
10015298911,102969999,1160,NYSEG,1999-01-01
10015298929,102970000,1160,NYSEG,1999-01-01
10033035378,102970001,1160,NYSEG,1999-01-01
10012204326,102970002,1160,NYSEG,1999-01-01
